선수명,포지션,ERA,IP,SO
김이환,투수,0,2 1/3,1
김진욱,투수,0,1    ,0
송창현,투수,0,1    ,2
김경태,투수,1.13,8,7
정우람,투수,1.88,38 1/3,30
임준섭,투수,2.92,24 2/3,15
안영명,투수,3.43,44 2/3,35
김성훈,투수,3.93,18 1/3,20
박상원,투수,4.09,44    ,26
채드벨,투수,4.15,123 2/3,92
김종수,투수,4.15,26,21
서폴드,투수,4.39,131 1/3,94
장민재,투수,4.81,91 2/3,84
박윤철,투수,4.86,16 2/3,16
김범수,투수,5.67,81    ,65
이태양,투수,6.52,48 1/3,38
김민우,투수,6.75,68    ,46
박주홍,투수,7.44,32 2/3,25
신정락,투수,9.78,19 1/3,19
윤규진,투수,10.38,4 1/3,1
문동욱,투수,12.06,15 2/3,12
김재영,투수,12.96,8 1/3,4
서균,투수,14.54,4 1/3,3
황영국,투수,27,1,3
